ID,CITY,COUNTRY,SUNRISE,SUNSET,DAYLIGHT_HOURS,TIMEZONE,RANK
3413829,Reykjavik,IS,21:30:16,17:20:06,19.83,0,1
658225,Helsinki,FI,22:12:36,16:23:04,18.17,10800,2
3143244,Oslo,NO,22:11:44,16:17:28,18.1,7200,3
2673730,Stockholm,SE,21:47:45,15:42:54,17.92,7200,4
524901,Moscow,RU,21:56:43,14:57:31,17.01,10800,5
2618425,Copenhagen,DK,22:37:20,15:37:19,17.0,7200,6
2964574,Dublin,IE,23:06:35,15:38:44,16.54,3600,7
2950159,Berlin,DE,22:52:21,15:15:32,16.39,7200,8
2759794,Amsterdam,NL,23:27:12,15:48:51,16.36,7200,9
756135,Warsaw,PL,22:23:31,14:43:34,16.33,7200,10
