City_ID,Cloudiness_Percentage,Wind_Direction_Degree,Gust_Speed,Wind_Speed
98182,0,320,,7.72
108410,7,51,2.52,2.41
112931,2,151,2.81,3.16
184745,96,31,3.79,2.3
264371,0,17,,0.89
292223,0,170,,2.57
293397,40,180,,2.57
360630,0,290,,3.09
524901,14,218,8.39,2.93
658225,100,247,7.15,6.71
745044,0,340,,3.09
756135,0,200,,2.06
1275339,75,240,,4.63
1581130,40,146,5.52,3.62
1609350,100,232,3.21,1.61
1642911,16,176,0.42,0.53
1668341,17,190,3.58,0.89
1701668,100,137,1.78,1.56
1735161,7,138,2.41,1.06
1816670,97,95,2.38,1.8
1835848,100,20,,2.06
1850147,75,60,,1.54
1880252,75,140,,4.12
2063523,0,350,,2.06
2147714,0,300,22.12,16.46
2193733,66,40,,6.17
2332459,100,236,5.69,4.75
2553604,0,30,5.45,3.97
2618425,75,250,,5.14
2643743,8,240,,4.12
2657896,0,130,,1.54
2673730,100,280,,3.09
2759794,20,240,,5.66
2761369,0,230,,3.09
2800866,0,230,,4.63
2950159,0,256,8.94,5.81
2964574,75,0,,1.03
2988507,0,360,,2.06
3054643,6,318,1.79,0.89
3067696,75,240,,0.89
3117735,0,160,,2.57
3143244,100,325,4.87,1.62
3169070,0,110,,2.06
3369157,75,20,,11.32
3413829,100,170,,3.09
3435910,0,135,3.58,0.89
3448433,0,142,1.31,1.35
3530597,100,290,,1.34
3871336,0,130,,3.09
3936456,0,160,,4.12
4887398,75,90,,3.09
5128581,13,307,3.13,2.24
5368361,20,260,11.32,7.2
5856195,75,40,10.8,6.17
6167865,0,300,9.77,7.2
6173331,100,200,,3.6
